"SpeciesCode","LifeStage","Count","EventID","LocationID","SnorkelSurveysID","BasinWideUnitSnorkel","StartDate","FieldSeason","Latitude","Longitude","StreamNumber","Watershed","StreamName","HabitatDescriptionSnorkel","Pass","Visibility","TimeElapsed_s","RiverReach"
"CO","YoY",0,14188,6,4725,156,"2020-07-22",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,"PacificWay"
"SH","YoY",1,14188,6,4725,156,"2020-07-22",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,"PacificWay"
"SH","1+",8,14188,6,4725,156,"2020-07-22",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,"PacificWay"
"SH","1+",7,14189,8,4726,169,"2020-07-22",2020,37.873734,-122.583204,"16","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",300,"PacificWay"
"SH","YoY",1,14189,8,4726,169,"2020-07-22",2020,37.873734,-122.583204,"16","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",300,"PacificWay"
"CO","YoY",0,14189,8,4726,169,"2020-07-22",2020,37.873734,-122.583204,"16","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",300,"PacificWay"
"SH","YoY",1,14190,9,4727,177,"2020-07-22",2020,37.874368,-122.583367,"17","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"PacificWay"
"SH","1+",9,14190,9,4727,177,"2020-07-22",2020,37.874368,-122.583367,"17","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"PacificWay"
"CO","YoY",0,14190,9,4727,177,"2020-07-22",2020,37.874368,-122.583367,"17","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"PacificWay"
"CO","YoY",0,14191,11,4728,186,"2020-07-22",2020,37.875583,-122.582088,"19","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",300,"PacificWay"
"SH","YoY",1,14191,11,4728,186,"2020-07-22",2020,37.875583,-122.582088,"19","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",300,"PacificWay"
"SH","1+",13,14191,11,4728,186,"2020-07-22",2020,37.875583,-122.582088,"19","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",300,"PacificWay"
"SH","1+",1,14192,11,4729,188,"2020-07-22",2020,37.875583,-122.582088,"19","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,"1",120,"PacificWay"
"CO","YoY",0,14192,11,4729,188,"2020-07-22",2020,37.875583,-122.582088,"19","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,"1",120,"PacificWay"
"SH","YoY",1,14192,11,4729,188,"2020-07-22",2020,37.875583,-122.582088,"19","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,"1",120,"PacificWay"
"SH","1+",7,14193,13,4730,196,"2020-07-22",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",720,"PacificWay"
"CO","YoY",0,14193,13,4730,196,"2020-07-22",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",720,"PacificWay"
"SH","YoY",1,14193,13,4730,196,"2020-07-22",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",720,"PacificWay"
"CO","YoY",0,14194,13,4731,204,"2020-07-22",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",60,"PacificWay"
"SH","YoY",1,14194,13,4731,204,"2020-07-22",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",60,"PacificWay"
"SH","1+",1,14194,13,4731,204,"2020-07-22",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",60,"PacificWay"
"SH","1+",3,14195,14,4732,214,"2020-07-22",2020,37.876735,-122.581516,"21","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",120,"PacificWay"
"CO","YoY",0,14195,14,4732,214,"2020-07-22",2020,37.876735,-122.581516,"21","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",120,"PacificWay"
"SH","YoY",1,14195,14,4732,214,"2020-07-22",2020,37.876735,-122.581516,"21","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",120,"PacificWay"
"SH","1+",0,14196,15,4733,222,"2020-07-22",2020,37.877118,-122.58097,"22","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",120,"PacificWay"
"CO","YoY",0,14196,15,4733,222,"2020-07-22",2020,37.877118,-122.58097,"22","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",120,"PacificWay"
"SH","YoY",1,14196,15,4733,222,"2020-07-22",2020,37.877118,-122.58097,"22","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",120,"PacificWay"
"CO","YoY",0,14197,16,4734,232,"2020-07-22",2020,37.87735,-122.580176,"23","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",180,"PacificWay"
"SH","YoY",1,14197,16,4734,232,"2020-07-22",2020,37.87735,-122.580176,"23","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",180,"PacificWay"
"SH","1+",12,14197,16,4734,232,"2020-07-22",2020,37.87735,-122.580176,"23","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",180,"PacificWay"
"CO","YoY",0,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".6",360,NA
"SH","1+",15,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".6",180,NA
"SH","YoY",1,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".6",180,NA
"CO","YoY",0,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".6",180,NA
"SH","YoY",1,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".6",360,NA
"SH","1+",17,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".8",360,NA
"SH","YoY",1,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".8",360,NA
"CO","YoY",0,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".8",360,NA
"SH","1+",15,14198,45,4735,57,"2020-07-22",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".6",360,NA
"CO","YoY",0,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".9",NA,"PacificWay"
"SH","1+",3,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".9",NA,"PacificWay"
"SH","YoY",1,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".9",NA,"PacificWay"
"CO","YoY",0,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".9",NA,"PacificWay"
"SH","1+",2,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".9",NA,"PacificWay"
"SH","YoY",1,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".9",NA,"PacificWay"
"CO","YoY",0,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".9",NA,"PacificWay"
"SH","1+",3,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".9",NA,"PacificWay"
"SH","YoY",1,14199,2,4736,109,"2020-07-23",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".9",NA,"PacificWay"
"CO","YoY",0,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".5",NA,"PacificWay"
"SH","1+",4,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".6",NA,"PacificWay"
"SH","YoY",1,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".6",NA,"PacificWay"
"CO","YoY",0,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",4,".6",NA,"PacificWay"
"SH","YoY",1,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".5",NA,"PacificWay"
"SH","1+",3,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".6",NA,"PacificWay"
"SH","YoY",1,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".6",NA,"PacificWay"
"CO","YoY",0,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",2,".6",NA,"PacificWay"
"SH","1+",3,14200,6,4737,148,"2020-07-23",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",3,".5",NA,"PacificWay"
"SH","1+",7,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",3,".8",NA,"PacificWay"
"CO","YoY",0,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",2,".9",NA,"PacificWay"
"SH","YoY",1,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",4,".8",NA,"PacificWay"
"SH","1+",8,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",4,".8",NA,"PacificWay"
"CO","YoY",0,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",4,".8",NA,"PacificWay"
"CO","YoY",0,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",3,".8",NA,"PacificWay"
"SH","YoY",1,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",2,".9",NA,"PacificWay"
"SH","YoY",1,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",3,".8",NA,"PacificWay"
"SH","1+",10,14201,13,4738,196,"2020-07-23",2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem","Scour Pool",2,".9",NA,"PacificWay"
"CO","YoY",0,14202,17,4739,240,"2020-07-27",2020,37.877861,-122.579412,"24","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",120,"PacificWay"
"SH","YoY",1,14202,17,4739,240,"2020-07-27",2020,37.877861,-122.579412,"24","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",120,"PacificWay"
"SH","1+",4,14202,17,4739,240,"2020-07-27",2020,37.877861,-122.579412,"24","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",120,"PacificWay"
"CO","YoY",0,14203,18,4740,254,"2020-07-27",2020,37.878293,-122.578674,"25","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",NA,"PacificWay"
"SH","YoY",1,14203,18,4740,254,"2020-07-27",2020,37.878293,-122.578674,"25","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",NA,"PacificWay"
"SH","1+",8,14203,18,4740,254,"2020-07-27",2020,37.878293,-122.578674,"25","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",NA,"PacificWay"
"CO","YoY",0,14204,19,4741,265,"2020-07-27",2020,37.878983,-122.578175,"26","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",480,"PacificWay"
"SH","YoY",1,14204,19,4741,265,"2020-07-27",2020,37.878983,-122.578175,"26","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",480,"PacificWay"
"SH","1+",12,14204,19,4741,265,"2020-07-27",2020,37.878983,-122.578175,"26","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",480,"PacificWay"
"CO","YoY",0,14205,20,4742,272,"2020-07-27",2020,37.879457,-122.577714,"27","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",720,"PacificWay"
"SH","YoY",1,14205,20,4742,272,"2020-07-27",2020,37.879457,-122.577714,"27","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",720,"PacificWay"
"SH","1+",12,14205,20,4742,272,"2020-07-27",2020,37.879457,-122.577714,"27","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",720,"PacificWay"
"CO","YoY",0,14206,20,4743,276,"2020-07-27",2020,37.879457,-122.577714,"27","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,".9",180,"PacificWay"
"SH","1+",0,14206,20,4743,276,"2020-07-27",2020,37.879457,-122.577714,"27","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,".9",180,"PacificWay"
"SH","YoY",1,14206,20,4743,276,"2020-07-27",2020,37.879457,-122.577714,"27","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,".9",180,"PacificWay"
"CO","YoY",1,14207,21,4744,284,"2020-07-27",2020,37.880083,-122.577204,"28","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",240,"PacificWay"
"SH","YoY",1,14207,21,4744,284,"2020-07-27",2020,37.880083,-122.577204,"28","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",240,"PacificWay"
"SH","1+",8,14207,21,4744,284,"2020-07-27",2020,37.880083,-122.577204,"28","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",240,"PacificWay"
"CO","YoY",0,14208,21,4745,292,"2020-07-27",2020,37.880083,-122.577204,"28","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",300,"PacificWay"
"SH","YoY",1,14208,21,4745,292,"2020-07-27",2020,37.880083,-122.577204,"28","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",300,"PacificWay"
"SH","1+",4,14208,21,4745,292,"2020-07-27",2020,37.880083,-122.577204,"28","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",300,"PacificWay"
"CO","YoY",0,14209,22,4746,305,"2020-07-27",2020,37.880695,-122.57684,"29","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",180,"PacificWay"
"SH","YoY",1,14209,22,4746,305,"2020-07-27",2020,37.880695,-122.57684,"29","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",180,"PacificWay"
"SH","1+",5,14209,22,4746,305,"2020-07-27",2020,37.880695,-122.57684,"29","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",180,"PacificWay"
"CO","YoY",0,14210,24,4747,314,"2020-07-27",2020,37.881138,-122.576186,"30","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,"KentCreekTrail"
"SH","YoY",1,14210,24,4747,314,"2020-07-27",2020,37.881138,-122.576186,"30","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,"KentCreekTrail"
"SH","1+",4,14210,24,4747,314,"2020-07-27",2020,37.881138,-122.576186,"30","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,"KentCreekTrail"
"SH","1+",2,14211,25,4748,322,"2020-07-27",2020,37.881622,-122.575398,"31","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",300,"KentCreekTrail"
"CO","YoY",0,14211,25,4748,322,"2020-07-27",2020,37.881622,-122.575398,"31","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",300,"KentCreekTrail"
"SH","YoY",1,14211,25,4748,322,"2020-07-27",2020,37.881622,-122.575398,"31","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",300,"KentCreekTrail"
"SH","1+",8,14212,26,4749,340,"2020-07-28",2020,37.88215,-122.574451,"32","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",240,"KentCreekTrail"
"SH","YoY",1,14212,26,4749,340,"2020-07-28",2020,37.88215,-122.574451,"32","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",240,"KentCreekTrail"
"CO","YoY",0,14212,26,4749,340,"2020-07-28",2020,37.88215,-122.574451,"32","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",240,"KentCreekTrail"
"CO","YoY",0,14213,27,4750,352,"2020-07-28",2020,37.882868,-122.574335,"33","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"KentCreekTrail"
"SH","YoY",1,14213,27,4750,352,"2020-07-28",2020,37.882868,-122.574335,"33","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"KentCreekTrail"
"SH","1+",2,14213,27,4750,352,"2020-07-28",2020,37.882868,-122.574335,"33","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"KentCreekTrail"
"SH","1+",6,14214,28,4751,359,"2020-07-28",2020,37.883045,-122.573115,"34","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"KentCreekTrail"
"CO","YoY",0,14214,28,4751,359,"2020-07-28",2020,37.883045,-122.573115,"34","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"KentCreekTrail"
"SH","YoY",1,14214,28,4751,359,"2020-07-28",2020,37.883045,-122.573115,"34","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",300,"KentCreekTrail"
"SH","1+",0,14215,28,4752,360,"2020-07-28",2020,37.883045,-122.573115,"34","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,".9",360,"KentCreekTrail"
"CO","YoY",0,14215,28,4752,360,"2020-07-28",2020,37.883045,-122.573115,"34","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,".9",360,"KentCreekTrail"
"SH","YoY",1,14215,28,4752,360,"2020-07-28",2020,37.883045,-122.573115,"34","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,".9",360,"KentCreekTrail"
"CO","YoY",0,14216,29,4753,370,"2020-07-28",2020,37.883427,-122.572546,"35","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",240,"KentCreekTrail"
"SH","YoY",1,14216,29,4753,370,"2020-07-28",2020,37.883427,-122.572546,"35","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",240,"KentCreekTrail"
"SH","1+",1,14216,29,4753,370,"2020-07-28",2020,37.883427,-122.572546,"35","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",240,"KentCreekTrail"
